Referral,Asset,Total Fee
0x2530e423b89b8ca8a5065cfdf280dbfc46d6886b,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,1250
app.vdex.trade,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,20991302.9775
app.vdex.trade,nep141:arb.omft.near,2335444961759.31
app.vdex.trade,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,2535000.0025
app.vdex.trade,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,7700000
app.vdex.trade,nep141:usdt.tether-token.near,1681.125
app.vdex.trade,nep141:wrap.near,1e+21
app.vdex.trade,nep245:v2_1.omni.hot.tg:10_11111111111111111111,1125000000000
consumerfi,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,18839903.987999998
consumerfi,nep141:base-0x227d920e20ebac8a40e7d6431b7d724bb64d7245.omft.near,693790485065561500000
consumerfi,nep141:base-0x532f27101965dd16442e59d40670faf5ebb142e4.omft.near,2261581551145106200
consumerfi,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,1043956406.5355005
consumerfi,nep141:base-0x98d0baa52b2d063e780de12f615f963fe8537553.omft.near,142371197632104330000
consumerfi,nep141:base-0xa5c67d8d37b88c2d88647814da5578128e2c93b2.omft.near,2695637040330067500
consumerfi,nep141:base-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,15904.273000000003
consumerfi,nep141:base.omft.near,234540288370794000
consumerfi,nep141:eth-0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d.omft.near,23753880589117890
consumerfi,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,17529295.464
consumerfi,nep141:eth-0xaaaaaa20d9e0e2461697782ef11675f668207961.omft.near,6063894713434933000
consumerfi,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,5425397.288500001
consumerfi,nep141:eth.omft.near,26315406205756824
consumerfi,nep141:sol-57d087fd8c460f612f8701f5499ad8b2eec5ab68.omft.near,198826823.495
consumerfi,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,358412539.50949997
consumerfi,nep141:sol-c58e6539c2f2e097c251f8edf11f9c03e581f8d4.omft.near,15734.501
consumerfi,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,181417458.66700006
consumerfi,nep141:sol-df27d7abcc1c656d4ac3b1399bbfbba1994e6d8c.omft.near,588111196.464
consumerfi,nep141:sol.omft.near,986090332.9699999
consumerfi,nep141:usdt.tether-token.near,3648995.250000001
consumerfi,nep141:wrap.near,1.7108478124731643e+24
consumerfi,nep245:v2_1.omni.hot.tg:56_11111111111111111111,6742193092464805
consumerfi,nep245:v2_1.omni.hot.tg:56_2CMMyVTGZkeyNZTSvS5sarzfir6g,39466959774476470000
consumerfi,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,25173003764754104000
dogecoinswap.intents-referral.near,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,66000149.756
dogecoinswap.intents-referral.near,nep245:v2_1.omni.hot.tg:1117_,21639153.232
flex_in,nep141:doge.omft.near,40000000
gemwallet,nep141:aptos.omft.near,500000
gemwallet,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,9995991.28
gemwallet,nep141:arb.omft.near,828530861145252.8
gemwallet,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,544848.52
gemwallet,nep141:base.omft.near,181545125838555.12
gemwallet,nep141:bera.omft.near,481330592380801600
gemwallet,nep141:btc.omft.near,84150.2
gemwallet,nep141:cardano.omft.near,1042587.65
gemwallet,nep141:doge.omft.near,14855733755.24
gemwallet,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,376839694.645
gemwallet,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,179560420.6475
gemwallet,nep141:eth.omft.near,20069455917444812
gemwallet,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,241434.71
gemwallet,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,5048693.095
gemwallet,nep141:sol.omft.near,79996530.075
gemwallet,nep141:sui.omft.near,55000000
gemwallet,nep141:tron-d28a265909efecdcee7c5028585214ea0b96f015.omft.near,8557500
gemwallet,nep141:tron.omft.near,2235156.5
gemwallet,nep141:wrap.near,3.39254192258331e+23
gemwallet,nep141:xrp.omft.near,42642057.405
gemwallet,nep141:zec.omft.near,35625621.505
gemwallet,nep245:v2_1.omni.hot.tg:1100_111bzQBB5v7AhLyPMDwS8uJgQV24KaAPXtwyVWu2KXbbfQU6NXRCz,1000000
gemwallet,nep245:v2_1.omni.hot.tg:1117_,3142117206.48
gemwallet,nep245:v2_1.omni.hot.tg:137_11111111111111111111,1574326230590588000
gemwallet,nep245:v2_1.omni.hot.tg:137_3hpYoaLtt8MP1Z2GH1U473DMRKgr,98050
gemwallet,nep245:v2_1.omni.hot.tg:137_qiStmoQJDQPTebaPjgx5VBxZv6L,1668619.2575
gemwallet,nep245:v2_1.omni.hot.tg:43114_11111111111111111111,1289006397643342.5
gemwallet,nep245:v2_1.omni.hot.tg:56_11111111111111111111,20248265136977876
gemwallet,nep245:v2_1.omni.hot.tg:56_2CMMyVTGZkeyNZTSvS5sarzfir6g,38259916478633350000
gemwallet,nep245:v2_1.omni.hot.tg:56_2w93GqMcEmQFDru84j3HZZWt557r,4409800000000000000
infinex.near,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,0
infinex.near,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,0
infinex.near,nep141:arb.omft.near,0
infinex.near,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,161111.84100000001
infinex.near,nep141:base.omft.near,0
infinex.near,nep141:btc.omft.near,376.61350000000004
infinex.near,nep141:cardano.omft.near,0
infinex.near,nep141:doge.omft.near,0
infinex.near,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,0
infinex.near,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,0
infinex.near,nep141:eth.omft.near,0
infinex.near,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,0
infinex.near,nep141:sol-c58e6539c2f2e097c251f8edf11f9c03e581f8d4.omft.near,0
infinex.near,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,0
infinex.near,nep141:sol.omft.near,0
infinex.near,nep141:xrp.omft.near,0
infinex.near,nep141:zec.omft.near,23821.95
intents.tg,nep141:17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1,38964849.72039995
intents.tg,nep141:aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,249979732800225020000
intents.tg,nep141:arb-0x912ce59144191c1204e64559fe8253a0e49e6548.omft.near,2056877973125000000
intents.tg,nep141:arb-0xaf88d065e77c8cc2239327c5edb3a432268e5831.omft.near,12652980.575000001
intents.tg,nep141:arb-0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.omft.near,2161760.2786
intents.tg,nep141:arb.omft.near,611223337954869.1
intents.tg,nep141:base-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913.omft.near,8955283.319899999
intents.tg,nep141:base-0x98d0baa52b2d063e780de12f615f963fe8537553.omft.near,107021500000000000
intents.tg,nep141:base-0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf.omft.near,25
intents.tg,nep141:base.omft.near,1909386776695587.8
intents.tg,nep141:bera-0x779ded0c9e1022225f8e0630b35a9b54be713736.omft.near,25745
intents.tg,nep141:bera.omft.near,55384352475000000
intents.tg,nep141:blackdragon.tkn.near,960250000000000000
intents.tg,nep141:btc.omft.near,2956.1494
intents.tg,nep141:eth-0x6b175474e89094c44da98b954eedeac495271d0f.omft.near,73227725000000000
intents.tg,nep141:eth-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.omft.near,679073.54
intents.tg,nep141:eth-0xdac17f958d2ee523a2206206994597c13d831ec7.omft.near,10400343.517499998
intents.tg,nep141:eth.bridge.near,145347799497724.38
intents.tg,nep141:eth.omft.near,1824363651352037
intents.tg,nep141:gnosis-0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1.omft.near,1132550000000
intents.tg,nep141:gnosis-0x9c58bacc331c9aa871afd802db6379a98e80cedb.omft.near,1496749675000000
intents.tg,nep141:jambo-1679.meme-cooking.near,1.3126892423903e+21
intents.tg,nep141:kat.token0.near,5000000000000000
intents.tg,nep141:mpdao-token.near,2.4275
intents.tg,nep141:nbtc.bridge.near,6.6625000000000005
intents.tg,nep141:sol-5ce3bf3a31af18be40ba30f721101b4341690186.omft.near,26240646.14310001
intents.tg,nep141:sol-c800a4bd850783ccb82c2b2c7e84175443606352.omft.near,3711323.807300001
intents.tg,nep141:sol.omft.near,120875009.225
intents.tg,nep141:token.0xshitzu.near,1776497500000000000
intents.tg,nep141:token.publicailab.near,8945752212075001000
intents.tg,nep141:token.rhealab.near,77886346002575050000
intents.tg,nep141:token.sweat,24347853749975000000
intents.tg,nep141:tron-d28a265909efecdcee7c5028585214ea0b96f015.omft.near,8302993.66
intents.tg,nep141:tron.omft.near,6903827.499999999
intents.tg,nep141:usdt.tether-token.near,29085536.599599935
intents.tg,nep141:wrap.near,1.3872324125365734e+26
intents.tg,nep245:v2_1.omni.hot.tg:10_11111111111111111111,35977289894777.95
intents.tg,nep245:v2_1.omni.hot.tg:10_359RPSJVdTxwTJT9TyGssr2rFoWo,2098798.59
intents.tg,nep245:v2_1.omni.hot.tg:10_A2ewyUyDp6qsue1jqZsGypkCxRJ,30095.790500000003
intents.tg,nep245:v2_1.omni.hot.tg:10_vLAiSt9KfUGKpw5cD3vsSyNYBo7,179648082900000000
intents.tg,nep245:v2_1.omni.hot.tg:1100_111bzQBB65GxAPAVoxqmMcgYo5oS3txhqs1Uh1cgahKQUeTUq1TJu,37377419.69050002
intents.tg,nep245:v2_1.omni.hot.tg:1117_,18266459638.760002
intents.tg,nep245:v2_1.omni.hot.tg:1117_3tsdfyziyc7EJbP2aULWSKU4toBaAcN4FdTgfm5W1mC4ouR,14913506.040300002
intents.tg,nep245:v2_1.omni.hot.tg:137_11111111111111111111,5861500164127099000
intents.tg,nep245:v2_1.omni.hot.tg:137_3hpYoaLtt8MP1Z2GH1U473DMRKgr,675427.1858000001
intents.tg,nep245:v2_1.omni.hot.tg:137_qiStmoQJDQPTebaPjgx5VBxZv6L,90187.06599999999
intents.tg,nep245:v2_1.omni.hot.tg:43114_11111111111111111111,29882030775000000
intents.tg,nep245:v2_1.omni.hot.tg:43114_372BeH7ENZieCaabwkbWkBiTTgXp,1726.3044
intents.tg,nep245:v2_1.omni.hot.tg:43114_3atVJH3r5c4GqiSYmg9fECvjc47o,5161.6900000000005
intents.tg,nep245:v2_1.omni.hot.tg:56_11111111111111111111,41926886879359480
intents.tg,nep245:v2_1.omni.hot.tg:56_12zbnsg6xndDVj25QyL82YMPudb,5248060000000000000
intents.tg,nep245:v2_1.omni.hot.tg:56_24S22V8GMmQN8t6PbCdRb3mBewAd,4546371554975000000
intents.tg,nep245:v2_1.omni.hot.tg:56_2CMMyVTGZkeyNZTSvS5sarzfir6g,68890414187600000000
